Date,Open,High,Low,Close,Adj Close,Volume,FedRate,CPI,Confirmed,Deaths,Active,Ticker
2020-01-01,326.1000061035156,329.9800109863281,324.7799987792969,329.80999755859375,329.80999755859375,4485800.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-02,326.1000061035156,329.9800109863281,324.7799987792969,329.80999755859375,329.80999755859375,4485800.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-03,326.7799987792969,329.8599853515625,325.5299987792969,325.8999938964844,325.8999938964844,3806900.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-04,326.7799987792969,329.8599853515625,325.5299987792969,325.8999938964844,325.8999938964844,3806900.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-05,326.7799987792969,329.8599853515625,325.5299987792969,325.8999938964844,325.8999938964844,3806900.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-06,323.1199951171875,336.3599853515625,321.20001220703125,335.8299865722656,335.8299865722656,5663100.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-07,336.4700012207031,336.70001220703125,330.29998779296875,330.75,330.75,4703200.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-08,331.489990234375,342.70001220703125,331.04998779296875,339.260009765625,339.260009765625,7104500.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-09,342.0,343.4200134277344,334.6099853515625,335.6600036621094,335.6600036621094,4709300.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-10,337.1300048828125,338.5,327.2699890136719,329.04998779296875,329.04998779296875,4718300.0,1.54,258.906,1.0,1.0,0.0,NFLX
2020-01-11,337.1300048828125,338.5,327.2699890136719,329.04998779296875,329.04998779296875,4718300.0,1.54,258.906,1.0,1.0,0.0,NFLX
2020-01-12,337.1300048828125,338.5,327.2699890136719,329.04998779296875,329.04998779296875,4718300.0,1.54,258.906,1.0,1.0,0.0,NFLX
2020-01-13,331.79998779296875,340.8500061035156,331.510009765625,338.9200134277344,338.9200134277344,6290000.0,1.54,258.906,1.0,1.0,0.0,NFLX
2020-01-14,344.3999938964844,345.3800048828125,335.5199890136719,338.69000244140625,338.69000244140625,7199400.0,1.54,258.906,1.0,1.0,0.0,NFLX
2020-01-15,338.67999267578125,343.1700134277344,336.6000061035156,339.07000732421875,339.07000732421875,5158000.0,1.54,258.906,1.0,1.0,0.0,NFLX
2020-01-16,343.5,343.55999755859375,335.8500061035156,338.6199951171875,338.6199951171875,5016000.0,1.54,258.906,1.0,1.0,0.0,NFLX
2020-01-17,341.0,341.57000732421875,337.3800048828125,339.6700134277344,339.6700134277344,6066500.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-18,341.0,341.57000732421875,337.3800048828125,339.6700134277344,339.6700134277344,6066500.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-19,341.0,341.57000732421875,337.3800048828125,339.6700134277344,339.6700134277344,6066500.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-20,341.0,341.57000732421875,337.3800048828125,339.6700134277344,339.6700134277344,6066500.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-21,340.0,341.0,332.5899963378906,338.1099853515625,338.1099853515625,14350300.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-22,332.54998779296875,336.29998779296875,323.6000061035156,326.0,326.0,21730000.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-23,326.0400085449219,349.8800048828125,325.010009765625,349.6000061035156,349.6000061035156,18200300.0,1.55,258.906,1.0,1.0,0.0,NFLX
2020-01-24,348.4599914550781,359.8500061035156,345.8800048828125,353.1600036621094,353.1600036621094,17939700.0,1.55,258.906,2.0,1.0,1.0,NFLX
2020-01-25,348.4599914550781,359.8500061035156,345.8800048828125,353.1600036621094,353.1600036621094,17939700.0,1.55,258.906,2.0,1.0,1.0,NFLX
2020-01-26,348.4599914550781,359.8500061035156,345.8800048828125,353.1600036621094,353.1600036621094,17939700.0,1.55,258.906,5.0,1.0,4.0,NFLX
2020-01-27,345.95001220703125,351.8999938964844,341.0199890136719,342.8800048828125,342.8800048828125,7709500.0,1.55,258.906,5.0,1.0,4.0,NFLX
2020-01-28,345.8800048828125,352.3999938964844,342.7799987792969,348.5199890136719,348.5199890136719,6821600.0,1.55,258.906,5.0,1.0,4.0,NFLX
2020-01-29,349.0,349.3999938964844,338.54998779296875,343.1600036621094,343.1600036621094,7643500.0,1.55,258.906,6.0,1.0,5.0,NFLX
2020-01-30,341.1000061035156,348.20001220703125,339.25,347.739990234375,347.739990234375,5328100.0,1.6,258.906,6.0,1.0,5.0,NFLX
2020-01-31,347.3900146484375,347.3900146484375,340.9800109863281,345.0899963378906,345.0899963378906,5230000.0,1.59,258.906,8.0,1.0,7.0,NFLX
2020-02-01,347.3900146484375,347.3900146484375,340.9800109863281,345.0899963378906,345.0899963378906,5230000.0,1.59,259.246,8.0,1.0,7.0,NFLX
2020-02-02,347.3900146484375,347.3900146484375,340.9800109863281,345.0899963378906,345.0899963378906,5230000.0,1.59,259.246,8.0,1.0,7.0,NFLX
