Date,Open,High,Low,Close,Adj Close,Volume,FedRate,CPI,Confirmed,Deaths,Active,Ticker
2020-01-01,129.6306610107422,132.83535766601562,129.1982879638672,130.802001953125,130.802001953125,7935230330,1.55,258.906,1.0,1.0,0.0,ETH-USD
2020-01-02,130.82003784179688,130.82003784179688,126.95491027832031,127.4101791381836,127.4101791381836,8032709256,1.55,258.906,1.0,1.0,0.0,ETH-USD
2020-01-03,127.41126251220703,134.55401611328125,126.49002075195312,134.1717071533203,134.1717071533203,10476845358,1.55,258.906,1.0,1.0,0.0,ETH-USD
2020-01-04,134.16851806640625,136.05271911621094,133.04055786132812,135.06936645507812,135.06936645507812,7430904515,1.55,258.906,1.0,1.0,0.0,ETH-USD
2020-01-05,135.0720977783203,139.4102020263672,135.04562377929688,136.2767791748047,136.2767791748047,7526675353,1.55,258.906,1.0,1.0,0.0,ETH-USD
2020-01-06,136.3055419921875,144.32818603515625,136.0796356201172,144.3041534423828,144.3041534423828,9093747121,1.55,258.906,1.0,1.0,0.0,ETH-USD
2020-01-07,144.31199645996094,145.00177001953125,140.48887634277344,143.5439910888672,143.5439910888672,9257954672,1.55,258.906,1.0,1.0,0.0,ETH-USD
2020-01-08,143.48782348632812,146.8280029296875,138.26820373535156,141.2581329345703,141.2581329345703,9387194957,1.55,258.906,1.0,1.0,0.0,ETH-USD
2020-01-09,141.15577697753906,141.39398193359375,136.2364044189453,138.9792022705078,138.9792022705078,7697325348,1.55,258.906,1.0,1.0,0.0,ETH-USD
2020-01-10,138.967041015625,144.16732788085938,135.52040100097656,143.96377563476562,143.96377563476562,9084816203,1.54,258.906,1.0,1.0,0.0,ETH-USD
2020-01-11,143.4091033935547,146.4809112548828,142.2079620361328,142.92710876464844,142.92710876464844,9332208590,1.54,258.906,1.0,1.0,0.0,ETH-USD
2020-01-12,143.0325469970703,146.14585876464844,142.7076416015625,145.87393188476562,145.87393188476562,8528167453,1.54,258.906,1.0,1.0,0.0,ETH-USD
2020-01-13,146.2201385498047,146.79122924804688,142.90713500976562,144.22659301757812,144.22659301757812,8378529470,1.54,258.906,1.0,1.0,0.0,ETH-USD
2020-01-14,144.2510528564453,167.68154907226562,144.06492614746094,165.95535278320312,165.95535278320312,16712318373,1.54,258.906,1.0,1.0,0.0,ETH-USD
2020-01-15,165.734619140625,170.42567443847656,161.109619140625,166.23068237304688,166.23068237304688,15173694057,1.54,258.906,1.0,1.0,0.0,ETH-USD
2020-01-16,166.33282470703125,167.0581512451172,159.7096405029297,164.39100646972656,164.39100646972656,13735193018,1.54,258.906,1.0,1.0,0.0,ETH-USD
2020-01-17,164.4893798828125,173.0692138671875,162.77560424804688,170.7799530029297,170.7799530029297,14997091826,1.55,258.906,1.0,1.0,0.0,ETH-USD
