Date,Open,High,Low,Close,Adj Close,Volume,FedRate,CPI,Confirmed,Deaths,Active,Ticker
2020-01-31,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.59,258.906,8.0,1.0,7.0,SOL-USD
2020-02-01,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.59,259.246,8.0,1.0,7.0,SOL-USD
2020-02-02,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.59,259.246,8.0,1.0,7.0,SOL-USD
2020-02-03,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.59,259.246,11.0,1.0,10.0,SOL-USD
2020-02-04,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.59,259.246,11.0,1.0,10.0,SOL-USD
2020-02-05,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.59,259.246,11.0,1.0,10.0,SOL-USD
2020-02-06,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.59,259.246,12.0,1.0,11.0,SOL-USD
2020-02-07,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.58,259.246,12.0,1.0,11.0,SOL-USD
2020-02-08,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.58,259.246,12.0,1.0,11.0,SOL-USD
2020-02-09,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.58,259.246,12.0,1.0,11.0,SOL-USD
2020-02-10,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.58,259.246,12.0,1.0,11.0,SOL-USD
2020-02-11,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.58,259.246,13.0,1.0,12.0,SOL-USD
2020-02-12,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.58,259.246,13.0,1.0,12.0,SOL-USD
2020-02-13,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.58,259.246,14.0,1.0,13.0,SOL-USD
2020-02-14,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.58,259.246,14.0,1.0,13.0,SOL-USD
2020-02-15,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.58,259.246,14.0,1.0,13.0,SOL-USD
2020-02-16,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.58,259.246,14.0,1.0,13.0,SOL-USD
2020-02-17,0.8320050239562988,1.3134870529174805,0.6941869854927063,0.9510539770126343,0.9510539770126343,87364276.0,1.58,259.246,15.0,1.0,14.0,SOL-USD
