Date,Open,High,Low,Close,Adj Close,Volume,FedRate,CPI,Confirmed,Deaths,Active,Ticker
2020-01-01,0.03283200040459633,0.0338129997253418,0.03270399942994118,0.03345799818634987,0.03345799818634987,22948374,1.55,258.906,1.0,1.0,0.0,ADA-USD
2020-01-02,0.03347399830818176,0.03350700065493584,0.03244800120592117,0.03275100141763687,0.03275100141763687,20843934,1.55,258.906,1.0,1.0,0.0,ADA-USD
2020-01-03,0.03274799883365631,0.03442699834704399,0.03249099850654602,0.03418000042438507,0.03418000042438507,30162644,1.55,258.906,1.0,1.0,0.0,ADA-USD
2020-01-04,0.03419100120663643,0.03468500077724457,0.03387200087308884,0.034595001488924026,0.034595001488924026,29535781,1.55,258.906,1.0,1.0,0.0,ADA-USD
2020-01-05,0.0345739983022213,0.03535600006580353,0.03454500064253807,0.034720998257398605,0.034720998257398605,21479178,1.55,258.906,1.0,1.0,0.0,ADA-USD
2020-01-06,0.03475100174546242,0.03729899972677231,0.03467399999499321,0.037271998822689056,0.037271998822689056,37988444,1.55,258.906,1.0,1.0,0.0,ADA-USD
2020-01-07,0.03729100152850151,0.03780699893832207,0.036653000861406326,0.037046998739242554,0.037046998739242554,51562680,1.55,258.906,1.0,1.0,0.0,ADA-USD
2020-01-08,0.03705500066280365,0.03855099901556969,0.03601500019431114,0.036435000598430634,0.036435000598430634,49193345,1.55,258.906,1.0,1.0,0.0,ADA-USD
2020-01-09,0.036444999277591705,0.036444999277591705,0.035672999918460846,0.03635900095105171,0.03635900095105171,26562776,1.55,258.906,1.0,1.0,0.0,ADA-USD
2020-01-10,0.03633499890565872,0.036979999393224716,0.0348070003092289,0.03687399998307228,0.03687399998307228,47483943,1.54,258.906,1.0,1.0,0.0,ADA-USD
2020-01-11,0.03685399889945984,0.0375789999961853,0.03652200102806091,0.03682500123977661,0.03682500123977661,63485488,1.54,258.906,1.0,1.0,0.0,ADA-USD
2020-01-12,0.03682100027799606,0.037748001515865326,0.03658000007271767,0.037689998745918274,0.037689998745918274,56546260,1.54,258.906,1.0,1.0,0.0,ADA-USD
2020-01-13,0.037696000188589096,0.0379440002143383,0.03677599877119064,0.036965999752283096,0.036965999752283096,56296775,1.54,258.906,1.0,1.0,0.0,ADA-USD
2020-01-14,0.03704100102186203,0.042219001799821854,0.03696899861097336,0.04165999963879585,0.04165999963879585,125280206,1.54,258.906,1.0,1.0,0.0,ADA-USD
2020-01-15,0.04157999902963638,0.04295799881219864,0.04040699824690819,0.04255300015211105,0.04255300015211105,111350540,1.54,258.906,1.0,1.0,0.0,ADA-USD
2020-01-16,0.04257199913263321,0.043090999126434326,0.04022400081157684,0.041391000151634216,0.041391000151634216,76686221,1.54,258.906,1.0,1.0,0.0,ADA-USD
2020-01-17,0.04143499955534935,0.0456789992749691,0.041106000542640686,0.04497800022363663,0.04497800022363663,106282894,1.55,258.906,1.0,1.0,0.0,ADA-USD
